	... reading file ...
	... done reading file ... 
output 0.000000 for 12468 nodes
log: -153.040738
	... starting backpropagation ...
n96 t: *, dr: log(-152.848075) vr: 0.641707, flag: 0
n97 t: +, dr: log(-152.848075) vr: 0.641707, flag: 0
n98 t: n, dr: log(-inf) vr: 1.478717, flag: 0
n99 t: v, dr: log(-152.700968) vr: 0.000000, flag: 0
n100 t: *, dr: log(-152.870853) vr: 1.478717, flag: 1
n101 t: n, dr: log(-152.870853) vr: 0.676262, flag: 0
n102 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n103 t: *, dr: log(-152.870853) vr: 0.676262, flag: 0
n104 t: +, dr: log(-152.870853) vr: 0.676262, flag: 0
n105 t: n, dr: log(-inf) vr: 0.775121, flag: 0
n106 t: v, dr: log(-153.261999) vr: 0.000000, flag: 0
n107 t: *, dr: log(-153.151369) vr: 0.775121, flag: 1
n108 t: n, dr: log(-153.151369) vr: 1.290121, flag: 0
n109 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n110 t: *, dr: log(-153.151369) vr: 1.290121, flag: 0
n111 t: +, dr: log(-153.151369) vr: 1.290121, flag: 0
n112 t: n, dr: log(-inf) vr: 3.237018, flag: 0
n113 t: v, dr: log(-152.020448) vr: 0.000000, flag: 0
n114 t: *, dr: log(-152.530593) vr: 3.237018, flag: 1
n115 t: n, dr: log(-152.530593) vr: 0.308926, flag: 0
n116 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n117 t: *, dr: log(-152.530593) vr: 0.308926, flag: 0
n118 t: +, dr: log(-152.530593) vr: 0.308926, flag: 0
n119 t: n, dr: log(-inf) vr: 1.558345, flag: 0
n120 t: v, dr: log(-152.655412) vr: 0.000000, flag: 0
n121 t: *, dr: log(-152.848075) vr: 1.558345, flag: 1
n122 t: n, dr: log(-152.848075) vr: 0.641707, flag: 0
n123 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n124 t: *, dr: log(-152.848075) vr: 0.641707, flag: 0
n125 t: +, dr: log(-152.848075) vr: 0.641707, flag: 0
n126 t: n, dr: log(-inf) vr: 0.876330, flag: 0
n127 t: v, dr: log(-153.155403) vr: 0.000000, flag: 0
n128 t: *, dr: log(-153.098071) vr: 0.876330, flag: 1
n129 t: n, dr: log(-153.098071) vr: 1.141123, flag: 0
n130 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n131 t: *, dr: log(-153.098071) vr: 1.141123, flag: 0
n132 t: +, dr: log(-153.098071) vr: 1.141123, flag: 0
n133 t: n, dr: log(-inf) vr: 3.358855, flag: 0
n134 t: v, dr: log(-151.988357) vr: 0.000000, flag: 0
n135 t: *, dr: log(-152.514548) vr: 3.358855, flag: 1
n136 t: n, dr: log(-152.514548) vr: 0.297721, flag: 0
n137 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n138 t: *, dr: log(-152.514548) vr: 0.297721, flag: 0
n139 t: +, dr: log(-152.514548) vr: 0.297721, flag: 0
n140 t: n, dr: log(-inf) vr: 1.343655, flag: 0
n141 t: v, dr: log(-152.784163) vr: 0.000000, flag: 0
n142 t: *, dr: log(-152.912451) vr: 1.343655, flag: 1
n143 t: n, dr: log(-152.912451) vr: 0.744239, flag: 0
n144 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n145 t: *, dr: log(-152.912451) vr: 0.744239, flag: 0
n146 t: +, dr: log(-152.912451) vr: 0.744239, flag: 0
n147 t: n, dr: log(-inf) vr: 0.781915, flag: 0
n148 t: v, dr: log(-153.254419) vr: 0.000000, flag: 0
n149 t: *, dr: log(-153.147579) vr: 0.781915, flag: 1
n150 t: n, dr: log(-153.147579) vr: 1.278911, flag: 0
n151 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n152 t: *, dr: log(-153.147579) vr: 1.278911, flag: 0
n153 t: +, dr: log(-153.147579) vr: 1.278911, flag: 0
n154 t: n, dr: log(-inf) vr: 3.220551, flag: 0
n155 t: v, dr: log(-152.024878) vr: 0.000000, flag: 0
n156 t: *, dr: log(-152.532808) vr: 3.220551, flag: 1
n157 t: n, dr: log(-152.532808) vr: 0.310506, flag: 0
n158 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n159 t: *, dr: log(-152.532808) vr: 0.310506, flag: 0
n160 t: +, dr: log(-152.532808) vr: 0.310506, flag: 0
n161 t: n, dr: log(-inf) vr: 1.546067, flag: 0
n162 t: v, dr: log(-152.662282) vr: 0.000000, flag: 0
n163 t: *, dr: log(-152.851510) vr: 1.546067, flag: 1
n164 t: n, dr: log(-152.851510) vr: 0.646803, flag: 0
n165 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n166 t: *, dr: log(-152.851510) vr: 0.646803, flag: 0
n167 t: +, dr: log(-152.851510) vr: 0.646803, flag: 0
n168 t: n, dr: log(-inf) vr: 1.235470, flag: 0
n169 t: v, dr: log(-152.857074) vr: 0.000000, flag: 0
n170 t: *, dr: log(-152.948906) vr: 1.235470, flag: 1
n171 t: n, dr: log(-152.948906) vr: 0.809409, flag: 0
n172 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
