	... reading file ...
	... done reading file ... 
output 0.000000 for 21714 nodes
log: -271.634508
	... starting backpropagation ...
n96 t: *, dr: log(-271.053571) vr: 0.262460, flag: 0
n97 t: +, dr: log(-271.053571) vr: 0.262460, flag: 0
n98 t: n, dr: log(-inf) vr: 4.162640, flag: 0
n99 t: v, dr: log(-270.395770) vr: 0.000000, flag: 0
n100 t: *, dr: log(-271.015139) vr: 4.162640, flag: 1
n101 t: n, dr: log(-271.015139) vr: 0.240232, flag: 0
n102 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n103 t: *, dr: log(-271.015139) vr: 0.240232, flag: 0
n104 t: +, dr: log(-271.015139) vr: 0.240232, flag: 0
n105 t: n, dr: log(-inf) vr: 3.560735, flag: 0
n106 t: v, dr: log(-270.531429) vr: 0.000000, flag: 0
n107 t: *, dr: log(-271.082968) vr: 3.560735, flag: 1
n108 t: n, dr: log(-271.082968) vr: 0.280841, flag: 0
n109 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n110 t: *, dr: log(-271.082968) vr: 0.280841, flag: 0
n111 t: +, dr: log(-271.082968) vr: 0.280841, flag: 0
n112 t: n, dr: log(-inf) vr: 5.035877, flag: 0
n113 t: v, dr: log(-270.230357) vr: 0.000000, flag: 0
n114 t: *, dr: log(-270.932432) vr: 5.035877, flag: 1
n115 t: n, dr: log(-270.932432) vr: 0.198575, flag: 0
n116 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n117 t: *, dr: log(-270.932432) vr: 0.198575, flag: 0
n118 t: +, dr: log(-270.932432) vr: 0.198575, flag: 0
n119 t: n, dr: log(-inf) vr: 3.829780, flag: 0
n120 t: v, dr: log(-270.468161) vr: 0.000000, flag: 0
n121 t: *, dr: log(-271.051334) vr: 3.829780, flag: 1
n122 t: n, dr: log(-271.051334) vr: 0.261112, flag: 0
n123 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n124 t: *, dr: log(-271.051334) vr: 0.261112, flag: 0
n125 t: +, dr: log(-271.051334) vr: 0.261112, flag: 0
n126 t: n, dr: log(-inf) vr: 2.914365, flag: 0
n127 t: v, dr: log(-270.705420) vr: 0.000000, flag: 0
n128 t: *, dr: log(-271.169964) vr: 2.914365, flag: 1
n129 t: n, dr: log(-271.169964) vr: 0.343128, flag: 0
n130 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n131 t: *, dr: log(-271.169964) vr: 0.343128, flag: 0
n132 t: +, dr: log(-271.169964) vr: 0.343128, flag: 0
n133 t: n, dr: log(-inf) vr: 3.422005, flag: 0
n134 t: v, dr: log(-270.565946) vr: 0.000000, flag: 0
n135 t: *, dr: log(-271.100227) vr: 3.422005, flag: 1
n136 t: n, dr: log(-271.100227) vr: 0.292226, flag: 0
n137 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n138 t: *, dr: log(-271.100227) vr: 0.292226, flag: 0
n139 t: +, dr: log(-271.100227) vr: 0.292226, flag: 0
n140 t: n, dr: log(-inf) vr: 2.753756, flag: 0
n141 t: v, dr: log(-270.754656) vr: 0.000000, flag: 0
n142 t: *, dr: log(-271.194582) vr: 2.753756, flag: 1
n143 t: n, dr: log(-271.194582) vr: 0.363140, flag: 0
n144 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n145 t: *, dr: log(-271.194582) vr: 0.363140, flag: 0
n146 t: +, dr: log(-271.194582) vr: 0.363140, flag: 0
n147 t: n, dr: log(-inf) vr: 5.877263, flag: 0
n148 t: v, dr: log(-270.096157) vr: 0.000000, flag: 0
n149 t: *, dr: log(-270.865332) vr: 5.877263, flag: 1
n150 t: n, dr: log(-270.865332) vr: 0.170147, flag: 0
n151 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n152 t: *, dr: log(-270.865332) vr: 0.170147, flag: 0
n153 t: +, dr: log(-270.865332) vr: 0.170147, flag: 0
n154 t: n, dr: log(-inf) vr: 3.004151, flag: 0
n155 t: v, dr: log(-270.679064) vr: 0.000000, flag: 0
n156 t: *, dr: log(-271.156786) vr: 3.004151, flag: 1
n157 t: n, dr: log(-271.156786) vr: 0.332873, flag: 0
n158 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n159 t: *, dr: log(-271.156786) vr: 0.332873, flag: 0
n160 t: +, dr: log(-271.156786) vr: 0.332873, flag: 0
